,Time,gLong,sLap,vCar,gLat,Lap,aCamberFL,aCamberFR,aSlipFL,aSlipFR,FzTyreFL,FzTyreFR
0,0.0,-2.0,299.00000000000006,217.90000000000003,-3.4426554548552385e-17,1.0,7.537000000000001,7.537000000000001,-2.754124363884191e-17,-2.754124363884191e-17,3653.177002864901,3590.1066288546194
1,0.2,-1.220706111907234,311.52440924981164,198.62010477643756,0.6029336200559008,1.0,6.958603143293127,6.958603143293127,0.48234689604472064,0.48234689604472064,3403.216523253684,3464.1651193042767
2,0.4,-0.6676081492096452,322.87254566641553,182.21880636858342,1.1105781600745346,1.0,6.466564191057502,6.466564191057502,0.8884625280596277,0.8884625280596277,3220.194611545388,3200.435828790237
3,0.6000000000000001,-0.30415713055843924,333.2584774581136,168.56745557251045,1.5167558900652178,1.0,6.057023667175313,6.057023667175313,1.2134047120521743,1.2134047120521743,2970.459917874603,2968.0931660904366
4,0.8,-0.09380407460482251,342.8962728332078,157.53740318429172,1.8152890800372679,1.0,5.726122095528751,5.726122095528751,1.4522312640298143,1.4522312640298143,2834.3641800103856,2835.4362348138006
5,1.0,-2.0816681711721685e-17,352.0,149.0,2.0,1.0,5.47,5.47,1.6,1.6,2672.7657246667864,2642.83196231123
6,1.2000000000000002,0.013804074604822511,360.7837271667924,142.82659681570837,2.064710919962734,1.0,5.284797904471251,5.284797904471251,1.6517687359701871,1.6517687359701871,2553.82010556161,2483.5423584990394
7,1.4000000000000001,-0.01584286944156052,369.46152254188655,138.8885444274896,2.0032441099347826,1.0,5.1666563328246875,5.1666563328246875,1.6025952879478262,1.6025952879478262,2427.05926747493,2438.4019126463386
8,1.6,-0.052391850790354966,378.2474543335845,137.05719363141668,1.809421839925466,1.0,5.1117158089425,5.1117158089425,1.4475374719403729,1.4475374719403729,2454.256451209367,2440.3902171864765
9,1.8,-0.0592938880927662,387.3555907501884,137.2038952235625,1.4770663799441,1.0,5.116116856706875,5.116116856706875,1.18165310395528,1.18165310395528,2402.636811559225,2409.542417187096
10,2.0,5.551115123125783e-17,397.0,139.2,1.0,1.0,5.175999999999999,5.175999999999999,0.8,0.8,2588.4245216549366,2522.409923031457
11,2.2,0.14948981348794418,407.2846820830192,142.86550796072916,0.38622270009316667,1.0,5.285965238821874,5.285965238821874,0.3089781600745334,0.3089781600745334,2672.2746607962904,2679.8211742741564
12,2.4000000000000004,0.36297962697588815,417.87336416603847,147.81501592145833,-0.29955459981366617,1.0,5.4344504776437494,5.4344504776437494,-0.23964367985093293,-0.23964367985093293,2522.0738272297704,2537.524635324372
13,2.6,0.6017245337198597,428.31970520754805,153.6117699018229,-0.9784432497670813,1.0,5.608353097054687,5.608353097054687,-0.7827545998136651,-0.7827545998136651,2653.2265561574454,2614.4710445073047
14,2.8000000000000003,0.8269796269758879,438.1773641660385,159.81901592145834,-1.571554599813666,1.0,5.7945704776437506,5.7945704776437506,-1.2572436798509328,-1.2572436798509328,2729.2649011015887,2723.768830478597
15,3.0,0.9999999999999999,447.00000000000006,166.00000000000003,-2.0,1.0,5.98,5.98,-1.6,-1.6,2894.4367910393703,2884.688640478497
16,3.2,1.0922366714434024,454.549544501131,171.81457134137514,-2.2096017203354035,1.0,6.154437140241254,6.154437140241254,-1.7676813762683228,-1.7676813762683228,2806.2554954175766,2817.9080234348908
17,3.4000000000000004,1.1159243615380103,461.4210207939599,177.3089918866773,-2.2450257106801232,1.0,6.319269756600319,6.319269756600319,-1.7960205685440986,-1.7960205685440986,3043.749365411689,3041.9228341058924
18,3.6,1.0934937159109168,468.4177248362233,182.62612676129189,-2.175648840857141,1.0,6.478783802838756,6.478783802838756,-1.740519072685713,-1.740519072685713,3026.147608325101,3019.281678312431
19,3.8000000000000003,1.0473753801892158,476.3429525856579,187.90884109060434,-2.0708479806894395,1.0,6.63726523271813,6.63726523271813,-1.6566783845515518,-1.6566783845515518,3209.104808831302,3191.353621288151
20,4.0,1.0,486.0,193.3,-1.9999999999999998,1.0,6.799,6.799,-1.5999999999999999,-1.5999999999999999,3228.8986369374443,3219.608087682347
21,4.2,0.9695635007384473,497.9091399124575,198.88260667377062,-2.011815818751556,1.0,6.9664782002131185,6.9664782002131185,-1.6094526550012447,-1.6094526550012447,3234.8673353227477,3254.12542342931
22,4.4,0.9573229268720719,511.45855265812264,204.50021653183285,-2.0723425574658445,1.0,7.135006495954985,7.135006495954985,-1.6578740459726757,-1.6578740459726757,3536.9908430406454,3469.1021970364527
23,4.6000000000000005,0.9603006026364728,525.7533954475591,209.93652305300978,-2.1269613868043544,1.0,7.2980956915902935,7.2980956915902935,-1.7015691094434837,-1.7015691094434837,3372.735416739815,3383.6930719882016
24,4.800000000000001,0.9755188522672493,539.8988254913304,214.97521971612449,-2.1210534774285765,1.0,7.449256591483734,7.449256591483734,-1.6968427819428613,-1.6968427819428613,3608.5312968698836,3607.911840093766
25,5.0,0.9999999999999994,552.9999999999999,219.39999999999998,-1.9999999999999991,1.0,7.581999999999999,7.581999999999999,-1.5999999999999994,-1.5999999999999994,3623.4854825145953,3619.85536324793
26,5.2,1.0295093256028085,564.4058958490391,223.06540196354257,-1.7271350046583733,1.0,7.6919620589062765,7.6919620589062765,-1.3817080037266987,-1.3817080037266987,3724.4786347325803,3688.559298372355
27,5.4,1.0547839309737017,574.4407685735497,226.1093419859915,-1.3376040594564993,1.0,7.783280259579745,7.783280259579745,-1.0700832475651996,-1.0700832475651996,3863.3502442210606,3801.098373719274
